Aliment,Calories,Fibres,Glucides,Gras,IG,CG,Proteines,Famille_regroupee
"Houmous, préemballé",100.0,5.98,7.1,23.9,50.0,3.6,0.0,Aides culinaires
"Tarte au maroilles ou Flamiche au maroilles, préemballée",315.0,2.5,22.1,18.3,50.0,11.0,10.0,Plats préparés
"Caviar d'aubergine, préemballé",100.0,2.93,4.3,21.0,50.0,2.2,0.0,Aides culinaires
"Crépe ou Galette fourrée au poisson et / ou fruits de mer, préemballée",206.0,1.6,14.3,12.4,45.0,6.4,10.0,Plats préparés
"Macédoine de légumes en salade, avec sauce, préemballée",200.0,4.11,7.0,9.3,15.0,1.0,10.0,Plats préparés
"Salade César au poulet (salade verte, fromage, croétons, sauce), préemballée",200.0,2.0,4.88,10.0,15.0,0.7,10.0,Plats préparés
"Salade végétale é base de boulgour et/ou quinoa et légumes, préemballée",167.0,3.3,17.4,8.3,15.0,2.6,10.0,Plats préparés
"Lasagnes ou cannellonis au fromage et aux épinards, préemballés",133.0,1.87,11.4,6.6,55.0,6.3,10.0,Plats préparés
"Soupe aux lentilles, préemballée é réchauffer",55.0,1.8,6.6,1.12,50.0,3.3,10.0,Plats préparés
"Soupe é la volaille et aux légumes, préemballée é réchauffer",30.8,0.4,2.6,0.8,50.0,1.3,10.0,Plats préparés
"Soupe aux légumes variés, préemballée é réchauffer",39.4,1.1,5.05,1.56,50.0,2.5,10.0,Plats préparés
"Soupe de poissons et / ou crustacés, préemballée é réchauffer",42.8,0.69,2.88,1.79,0.0,0.0,10.0,Plats préparés
"Soupe aux légumes variés, déshydratée reconstituée",34.5,1.16,4.43,1.22,50.0,2.2,10.0,Plats préparés
"Soupe aux poireaux et pommes de terre, préemballée é réchauffer",37.1,1.28,4.46,1.51,45.0,2.0,10.0,Plats préparés
"Soupe é la volaille et aux vermicelles, préemballée é réchauffer",30.8,0.56,3.86,1.0,50.0,1.9,10.0,Plats préparés
"Bouillon de viande et légumes type pot-au-feu, prét é consommer",4.8,3.0,0.1,0.4,0.0,0.0,10.0,Plats préparés
"Soupe é l'oignon, préemballée é réchauffer",40.4,1.34,4.93,1.4,50.0,2.5,10.0,Plats préparés
"Soupe aux champignons, préemballée é réchauffer",48.2,0.52,4.09,3.07,50.0,2.0,10.0,Plats préparés
"Soupe é la carotte, préemballée é réchauffer",33.2,1.22,3.89,1.41,15.0,0.6,10.0,Plats préparés
"Soupe é la tomate, préemballée é réchauffer",38.7,0.88,6.27,0.99,15.0,0.9,10.0,Plats préparés
"Soupe chorba frik, é base de viande et de frik",62.9,1.9,5.4,2.5,0.0,0.0,10.0,Plats préparés
"Soupe minestrone, préemballée é réchauffer",48.8,1.8,5.6,2.0,50.0,2.8,10.0,Plats préparés
"Soupe au pistou, déshydratée reconstituée",30.4,0.8,5.2,0.35,50.0,2.6,10.0,Plats préparés
"Bouillon de viande et légumes type pot-au-feu, déshydraté",213.0,0.67,17.7,11.1,0.0,0.0,0.0,Aides culinaires
"Soupe de poissons et / ou crustacés, déshydratée reconstituée",29.0,0.21,5.09,0.5,0.0,0.0,10.0,Plats préparés
"Soupe asiatique, avec pétes, déshydratée reconstituée",29.8,0.49,5.25,0.44,50.0,2.6,10.0,Plats préparés
"Soupe marocaine, déshydratée reconstituée",34.3,0.72,5.77,0.55,50.0,2.9,10.0,Plats préparés
"Soupe aux poireaux et pommes de terre, déshydratée reconstituée",26.1,0.28,4.84,0.41,45.0,2.2,10.0,Plats préparés
"Soupe é la volaille et aux légumes, déshydratée reconstituée",27.3,0.51,4.58,0.44,50.0,2.3,10.0,Plats préparés
"Bouillon de boeuf, déshydraté reconstitué",9.05,3.0,1.33,0.15,50.0,0.7,10.0,Plats préparés
"Soupe aux asperges, déshydratée reconstituée",35.3,0.28,5.14,1.31,50.0,2.6,10.0,Plats préparés
"Soupe é la tomate et aux vermicelles, préemballée é réchauffer",37.7,1.3,5.87,0.8,15.0,0.9,10.0,Plats préparés
"Soupe aux céréales et aux légumes, déshydratée reconstituée",47.8,1.2,6.8,1.4,50.0,3.4,10.0,Plats préparés
"Soupe é la tomate, déshydratée reconstituée",36.2,0.64,5.79,0.97,15.0,0.9,10.0,Plats préparés
"Soupe aux champignons, déshydratée reconstituée",37.8,0.82,4.37,1.79,50.0,2.2,10.0,Plats préparés
"Soupe é l'oignon, déshydratée reconstituée",24.0,0.31,4.37,0.4,50.0,2.2,10.0,Plats préparés
"Soupe au potiron, préemballée é réchauffer",35.9,1.31,4.13,1.56,50.0,2.1,10.0,Plats préparés
"Bouillon de volaille, déshydraté reconstitué",5.58,0.0001,0.5,0.13,50.0,0.2,10.0,Plats préparés
"Bouillon de légumes, déshydraté reconstitué",5.38,3.0,0.65,0.16,50.0,0.3,10.0,Plats préparés
"Soupe é la tomate et aux vermicelles, déshydratée reconstituée",21.6,0.32,4.21,0.18,15.0,0.6,10.0,Plats préparés
"Soupe é la volaille et aux vermicelles, déshydratée reconstituée",21.3,0.26,3.87,0.25,50.0,1.9,10.0,Plats préparés
"Soupe au pistou, préemballée é réchauffer",31.9,1.5,4.1,0.5,50.0,2.0,10.0,Plats préparés
"Soupe au potiron, déshydratée reconstituée",38.3,0.76,5.61,1.24,50.0,2.8,10.0,Plats préparés
"Soupe asiatique, avec pétes, préemballée é réchauffer",22.3,0.7,3.4,0.5,50.0,1.7,10.0,Plats préparés
"Soupe minestrone, déshydratée reconstituée",31.3,0.79,5.53,0.34,50.0,2.8,10.0,Plats préparés
"Soupe au cresson, déshydratée reconstituée",25.1,0.19,3.95,0.8,50.0,2.0,10.0,Plats préparés
"Soupe au cresson, préemballée é réchauffer",34.0,0.6,5.4,0.8,50.0,2.7,10.0,Plats préparés
"Soupe aux légumes avec fromage, préemballée é réchauffer",50.2,0.93,5.09,2.51,0.0,0.0,10.0,Plats préparés
"Soupe aux légumes verts, préemballée é réchauffer",33.4,1.05,3.84,1.32,50.0,1.9,10.0,Plats préparés
"Soupe aux légumes verts, déshydratée reconstituée",34.8,0.54,5.31,1.07,50.0,2.7,10.0,Plats préparés
"Soupe aux pois cassés, préemballée é réchauffer",56.7,1.6,6.25,1.98,50.0,3.1,10.0,Plats préparés
"Soupe froide type Gaspacho ou Gazpacho, préemballée",32.8,1.04,3.38,1.62,50.0,1.7,10.0,Plats préparés
"Soupe aux asperges, préemballée é réchauffer",133.0,1.0,4.7,10.4,50.0,2.4,10.0,Plats préparés
Soupe (aliment moyen),37.4,1.02,4.5,1.37,50.0,2.2,10.0,Plats préparés
"Bouillon de viande et légumes type pot-au-feu, non dégraissé, déshydraté",212.0,0.0,28.9,5.4,45.0,13.0,0.0,Aides culinaires
"Bouillon de viande et légumes type pot-au-feu, dégraissé, déshydraté",197.0,0.0,30.9,3.1,45.0,13.9,0.0,Aides culinaires
"Soupe miso, déshydratée reconstituée",17.1,0.5,2.18,0.5,50.0,1.1,10.0,Plats préparés
"Maquereau, filet grillé, appertisé, nature, égoutté",246.0,0.0,0.55,18.3,50.0,0.3,18.0,Produits animaux
"Saumon, cuit, sans précision (aliment moyen)",205.0,0.0,0.0,12.5,50.0,0.0,18.0,Produits animaux
"Cabillaud, cuit, sans précision (aliment moyen)",98.9,0.0,0.0,0.73,50.0,0.0,18.0,Produits animaux
"Hareng fumé, filet, doux",162.0,0.5,0.0,9.9,50.0,0.0,18.0,Produits animaux
"Anchois, filets roulés aux cépres, semi-conserve, égoutté",198.0,1.0,1.48,10.3,50.0,0.7,18.0,Produits animaux
"Anchois, filets é l'huile, semi-conserve, égoutté",182.0,0.25,0.2,8.45,50.0,0.1,18.0,Produits animaux
"Bar rayé ou bar d'Amérique, cru",113.0,0.0,0.0,3.58,50.0,0.0,18.0,Produits animaux
"Carrelet ou plie, pané, frit",242.0,1.0,8.86,16.8,50.0,4.4,18.0,Produits animaux
"Carrelet ou plie, cuit é la vapeur",93.0,0.0,0.0,1.89,50.0,0.0,18.0,Produits animaux
"Oeufs de lompe, semi-conserve",111.0,0.0,1.0,7.27,50.0,0.5,18.0,Produits animaux
"Caviar, semi-conserve",254.0,0.0,0.0,17.1,50.0,0.0,18.0,Produits animaux
"Lieu ou colin d'Alaska, cru",70.8,0.17,0.0,0.61,50.0,0.0,18.0,Produits animaux
"églefin, cuit é la vapeur",89.0,0.0,0.0,0.6,50.0,0.0,18.0,Produits animaux
"Flétan de l'Atlantique ou flétan blanc, cru",96.5,0.0,0.0,1.31,50.0,0.0,18.0,Produits animaux
Hareng mariné ou rollmops,211.0,0.0,8.0,13.8,50.0,4.0,18.0,Produits animaux
"Hareng, cru",176.0,0.0,0.0,11.7,50.0,0.0,18.0,Produits animaux
"Hareng, frit",201.0,0.0,0.0,12.1,50.0,0.0,18.0,Produits animaux
"Hareng fumé, au naturel",173.0,0.0,0.5,11.7,50.0,0.2,18.0,Produits animaux
"Hareng, grillé/poélé",189.0,0.0,0.0,11.4,50.0,0.0,18.0,Produits animaux
"Lieu noir, cuit",99.7,0.0,0.0,0.81,50.0,0.0,18.0,Produits animaux
"Limande-sole, panée, frite",206.0,0.0,11.9,10.2,50.0,6.0,18.0,Produits animaux
"Limande-sole, cuite é la vapeur",90.1,0.0,0.0,2.27,50.0,0.0,18.0,Produits animaux
"Lotte ou baudroie, crue",67.2,0.2,0.0,0.74,50.0,0.0,18.0,Produits animaux
"Maquereau, réti/cuit au four",228.0,0.0,0.0,15.8,50.0,0.0,18.0,Produits animaux
"Maquereau, frit",186.0,0.0,0.0,10.2,50.0,0.0,18.0,Produits animaux
"Merlan, frit",125.0,0.0,0.0,3.61,50.0,0.0,18.0,Produits animaux
"Merlan, cuit é la vapeur",98.3,0.0,0.0,0.7,50.0,0.0,18.0,Produits animaux
"Cabillaud, réti/cuit au four",94.6,0.0,0.0,0.6,50.0,0.0,18.0,Produits animaux
"Morue, salée, bouillie/cuite é l'eau",113.0,0.0,0.0,1.01,50.0,0.0,18.0,Produits animaux
"Cabillaud, cuit é la vapeur",106.0,0.0,0.0,0.95,50.0,0.0,18.0,Produits animaux
"Mulet, réti/cuit au four",143.0,0.0,0.0,4.86,50.0,0.0,18.0,Produits animaux
"Pilchard, sauce tomate, appertisé, égoutté",167.0,0.0,3.99,11.0,15.0,0.6,18.0,Produits animaux
"Poisson, croquette ou beignet ou nuggets, frit",255.0,2.5,18.4,13.7,0.0,0.0,18.0,Produits animaux
"Poisson pané, surgelé, cru",162.0,0.9,16.1,5.73,0.0,0.0,18.0,Produits animaux
"Poisson pané, frit",193.0,0.9,13.4,10.0,0.0,0.0,18.0,Produits animaux
"Raie, rétie/cuite au four",96.3,0.0,0.0,0.5,50.0,0.0,18.0,Produits animaux
"Roussette ou petite roussette ou saumonette, cuite",256.0,0.0,0.0,17.2,50.0,0.0,18.0,Produits animaux
"Sardine, é l'huile, appertisée, égouttée",207.0,0.0,0.49,12.0,50.0,0.2,18.0,Produits animaux
"Sardine, sauce tomate, appertisée, égouttée",193.0,1.05,1.38,11.6,15.0,0.2,18.0,Produits animaux
"Saumon, cru, élevage",194.0,0.25,0.0,12.4,50.0,0.0,18.0,Produits animaux
Saumon fumé,178.0,0.25,0.91,9.49,50.0,0.5,18.0,Produits animaux
"Saumon, cuit é la vapeur",195.0,0.0,0.0,11.5,50.0,0.0,18.0,Produits animaux
"Thon, au naturel, appertisé, égoutté",111.0,0.0,0.0,0.4,50.0,0.0,18.0,Produits animaux
"Sardine, é l'huile d'olive, appertisée, égouttée",202.0,0.0,1.06,11.2,50.0,0.5,18.0,Produits animaux
"Thon, réti/cuit au four",136.0,0.0,0.0,1.83,50.0,0.0,18.0,Produits animaux
"Turbot sauvage, cru",91.5,0.0,0.0,2.54,50.0,0.0,18.0,Produits animaux
"Cabillaud, cru",77.6,0.2,0.0,0.57,50.0,0.0,18.0,Produits animaux
"Merlu, cru",82.6,0.0,0.0,1.35,50.0,0.0,18.0,Produits animaux
"Surimi, bétonnets, tranche ou répé saveur crabe",125.0,0.33,11.8,4.92,50.0,5.9,18.0,Produits animaux
"Lieu noir, surgelé, cru",82.4,0.0,0.0,0.37,50.0,0.0,18.0,Produits animaux
"Merlu, filet, surgelé, cru",82.0,0.0,0.0,2.4,50.0,0.0,18.0,Produits animaux
"Maquereau, cru",194.0,0.0,0.0,13.5,50.0,0.0,18.0,Produits animaux
"Raie, crue",89.9,0.0,0.0,0.47,50.0,0.0,18.0,Produits animaux
"Thon, cru",144.0,0.0,0.0,5.38,50.0,0.0,18.0,Produits animaux
"Poisson en sauce, surgelé",132.0,1.25,3.18,7.05,0.0,0.0,10.0,Plats préparés
"Carrelet ou plie, cru",88.6,0.0,0.0,0.94,50.0,0.0,18.0,Produits animaux
"Oeufs de cabillaud, fumés, semi-conserve",146.0,0.0,0.1,4.2,50.0,0.0,18.0,Produits animaux
"Limande, crue",80.8,0.0,0.0,0.85,50.0,0.0,18.0,Produits animaux
"Sole, crue",77.3,0.0,0.0,0.6,50.0,0.0,18.0,Produits animaux
"Sole, cuite é la vapeur",94.6,0.0,0.0,1.48,50.0,0.0,18.0,Produits animaux
"Sole, rétie/cuite au four",78.2,0.0,0.0,1.69,50.0,0.0,18.0,Produits animaux
"Sole, bouillie/cuite é l'eau",69.0,0.0,0.0,1.0,50.0,0.0,18.0,Produits animaux
"Sole, frite",72.2,0.0,0.0,1.0,50.0,0.0,18.0,Produits animaux
"Rascasse, crue",87.6,0.0,0.0,1.33,50.0,0.0,18.0,Produits animaux
"Thon albacore ou thon jaune, cru",108.0,0.0,0.0,0.94,50.0,0.0,18.0,Produits animaux
"Sardine, crue",163.0,0.0,0.0,9.48,50.0,0.0,18.0,Produits animaux
"Thon listao ou Bonite é ventre rayé, cru",97.1,0.0,0.0,1.01,50.0,0.0,18.0,Produits animaux
"Thon rouge, cru",155.0,0.0,0.0,6.81,50.0,0.0,18.0,Produits animaux
"Bar commun ou loup, cru, sans précision",82.5,0.0,0.0,0.7,50.0,0.0,18.0,Produits animaux
"Raie, cuite au court-bouillon",97.8,0.0,0.0,0.57,50.0,0.0,18.0,Produits animaux
"Roussette ou petite roussette ou saumonette, crue",97.8,0.0,0.0,0.5,50.0,0.0,18.0,Produits animaux
"Bar ou loup de l'Atlantique, cru",89.9,0.0,0.0,2.61,50.0,0.0,18.0,Produits animaux
"Thon germon ou thon blanc, cru",121.0,0.0,0.0,1.37,50.0,0.0,18.0,Produits animaux
"Thon germon ou thon blanc, cuit é la vapeur sous pression",165.0,0.0,0.0,5.06,50.0,0.0,18.0,Produits animaux
"Anchois commun, cru",129.0,0.0,0.0,6.07,50.0,0.0,18.0,Produits animaux
"Dorade royale, ou daurade ou vraie daurade, crue, sauvage",93.2,0.0,0.0,2.31,50.0,0.0,18.0,Produits animaux
"Lotte ou baudroie, grillée/poélée",98.2,0.0,0.0,0.68,50.0,0.0,18.0,Produits animaux
"Espadon, cru",130.0,0.0,0.0,5.97,50.0,0.0,18.0,Produits animaux
"éperlan, cru",85.4,0.0,0.0,1.7,50.0,0.0,18.0,Produits animaux
"Cardine franche, crue",93.4,0.0,0.0,1.53,50.0,0.0,18.0,Produits animaux
"Rouget-barbet de roche, cru",158.0,0.0,0.0,9.37,50.0,0.0,18.0,Produits animaux
"Maquereau, filet sauce tomate, appertisé, égoutté",227.0,1.02,1.94,16.3,15.0,0.3,18.0,Produits animaux
"Maquereau, fumé",294.0,0.0,0.0,24.3,50.0,0.0,18.0,Produits animaux
"Dorade royale ou daurade ou vraie daurade, crue, élevage",129.0,0.0,0.0,5.1,50.0,0.0,18.0,Produits animaux
Haddock (fumé) ou églefin fumé,97.0,0.0,0.0,0.73,50.0,0.0,18.0,Produits animaux
"Mulet, cru",113.0,0.0,0.0,3.62,50.0,0.0,18.0,Produits animaux
"Truite de mer, crue",111.0,0.0,0.0,3.63,50.0,0.0,18.0,Produits animaux
"Espadon, réti/cuit au four",266.0,0.0,0.0,16.9,50.0,0.0,18.0,Produits animaux
"Turbot, réti/cuit au four",118.0,0.0,0.0,3.64,50.0,0.0,18.0,Produits animaux
"Merlan, cru",79.3,0.0,0.0,0.47,50.0,0.0,18.0,Produits animaux
"Maquereau, filet sauce moutarde, appertisé, égoutté",217.0,0.58,1.09,14.2,50.0,0.5,18.0,Produits animaux
"Maquereau, filet au vin blanc, appertisé, égoutté",207.0,0.0,2.25,14.1,50.0,1.1,18.0,Produits animaux
"Morue, salée, séche",206.0,0.0,0.0,1.67,50.0,0.0,18.0,Produits animaux
"Dorade grise, ou daurade grise, ou griset, crue",130.0,1.0,0.0,5.27,50.0,0.0,18.0,Produits animaux
"Bogue, crue",90.0,0.0,0.0,2.03,50.0,0.0,18.0,Produits animaux
"Bonite, crue",161.0,0.0,0.0,8.01,50.0,0.0,18.0,Produits animaux
"Maquereau espagnol ou maquereau blanc ou billard, cru",135.0,0.0,0.0,5.15,50.0,0.0,18.0,Produits animaux
"Denté, cru",99.3,0.0,0.0,3.5,50.0,0.0,18.0,Produits animaux
"Saint-Pierre, cru",86.7,0.0,0.0,0.8,50.0,0.0,18.0,Produits animaux
"Grondin, cru",94.0,0.0,0.0,2.0,50.0,0.0,18.0,Produits animaux
"Corb, cru",87.2,0.0,0.0,0.8,50.0,0.0,18.0,Produits animaux
"Capelan, cru",90.0,0.0,0.0,1.71,50.0,0.0,18.0,Produits animaux
"Dorade rose, ou daurade rose, crue",102.0,0.0,0.0,2.0,50.0,0.0,18.0,Produits animaux
"Rouget-barbet de roche, vapeur",143.0,0.0,0.0,5.2,50.0,0.0,18.0,Produits animaux
"Saupe, crue",94.5,0.0,0.0,2.5,50.0,0.0,18.0,Produits animaux
"Chinchard, cru",116.0,0.0,0.0,4.42,50.0,0.0,18.0,Produits animaux
"Saumon, appertisé, égoutté",180.0,0.0,1.5,10.2,50.0,0.8,18.0,Produits animaux
"Merlu, cuit é l'étouffée",112.0,0.0,0.0,3.0,50.0,0.0,18.0,Produits animaux
"églefin, cru",72.3,0.0,0.0,0.35,50.0,0.0,18.0,Produits animaux
"Maquereau, au naturel, appertisé, égoutté",189.0,0.0,0.0,11.4,50.0,0.0,18.0,Produits animaux
"Merlan, pané",190.0,0.9,13.0,9.57,50.0,6.5,18.0,Produits animaux
"églefin, grillé/poélé",84.9,0.0,0.0,0.55,50.0,0.0,18.0,Produits animaux
"Congre, cru",115.0,0.0,0.0,4.6,50.0,0.0,18.0,Produits animaux
"Grenadier (de roche), cru",68.9,0.0,0.0,0.81,50.0,0.0,18.0,Produits animaux
"Lieu jaune ou colin, cru",75.5,0.0,0.0,0.51,50.0,0.0,18.0,Produits animaux
"Julienne ou Lingue, crue",80.8,0.0,0.0,0.44,50.0,0.0,18.0,Produits animaux
"Tacaud, cru",81.6,0.0,0.0,0.33,50.0,0.0,18.0,Produits animaux
"Lieu noir, cru",82.5,0.0,0.0,0.8,50.0,0.0,18.0,Produits animaux
"Limande-sole, crue",80.6,0.0,0.0,1.4,50.0,0.0,18.0,Produits animaux
"Sardine, grillée",194.0,0.0,0.0,10.4,50.0,0.0,18.0,Produits animaux
Poisson cuit (aliment moyen),144.0,3.0,0.0,5.52,0.0,0.0,10.0,Plats préparés
"Foie de morue, cru",619.0,0.0,0.0,66.6,50.0,0.0,18.0,Produits animaux
"Foie de morue, appertisé, égoutté",433.0,0.0,1.1,44.4,50.0,0.6,18.0,Produits animaux
"Vivaneau, cru",94.1,0.0,0.0,1.34,50.0,0.0,18.0,Produits animaux
"Vivaneau, cuit",121.0,0.0,0.0,1.72,50.0,0.0,18.0,Produits animaux
"Rascasse, cuite é la vapeur",126.0,0.0,0.0,3.1,50.0,0.0,18.0,Produits animaux
"Oeufs de truite, semi-conserve",150.0,0.0,0.0,9.5,50.0,0.0,18.0,Produits animaux
"Lieu ou colin d'Alaska, fumé",81.3,0.0,0.0,0.9,50.0,0.0,18.0,Produits animaux
"Sabre, cru",125.0,0.0,0.0,5.9,50.0,0.0,18.0,Produits animaux
"Flétan du Groénland ou flétan noir ou flétan commun, cru",168.0,0.0,0.0,12.7,50.0,0.0,18.0,Produits animaux
"Carangue, cru",104.0,0.0,0.0,2.7,50.0,0.0,18.0,Produits animaux
"Coulirou, cru",70.9,0.0,0.0,0.1,50.0,0.0,18.0,Produits animaux
"Saumon, cru, sauvage",166.0,0.0,0.0,9.17,50.0,0.0,18.0,Produits animaux
"Requin, cru",109.0,0.0,0.0,2.91,50.0,0.0,18.0,Produits animaux
"Orphie commune, crue",133.0,0.0,0.0,5.91,50.0,0.0,18.0,Produits animaux
"Lompe, crue",168.0,0.0,0.0,14.2,50.0,0.0,18.0,Produits animaux
"Bréme, cru",104.0,0.0,0.0,4.0,50.0,0.0,18.0,Produits animaux
"Omble chevalier, cru",103.0,0.0,0.0,2.7,50.0,0.0,18.0,Produits animaux
"Loup tacheté, cru",108.0,0.0,0.0,4.8,50.0,0.0,18.0,Produits animaux
"Sprat, cru",186.0,0.0,0.0,11.9,50.0,0.0,18.0,Produits animaux
"Turbot, cru",85.5,0.0,0.0,1.55,50.0,0.0,18.0,Produits animaux
"Corégone lavaret, cru",115.0,0.0,0.0,3.72,50.0,0.0,18.0,Produits animaux
"Anchois au sel (anchoité, semi-conserve)",128.0,0.0,0.0,3.1,50.0,0.0,18.0,Produits animaux
"Mérou, cru",82.3,0.0,0.0,0.86,50.0,0.0,18.0,Produits animaux
"Thon germon ou thon blanc, é l'huile d'olive, appertisé, égoutté",192.0,0.0,1.01,6.95,50.0,0.5,18.0,Produits animaux
"Thon é l'huile de tournesol, entier, appertisé, égoutté",206.0,0.0,0.76,12.2,50.0,0.4,18.0,Produits animaux
"Thon albacore ou thon jaune, au naturel, appertisé, égoutté",128.0,1.5,0.58,1.98,50.0,0.3,18.0,Produits animaux
"Maquereau, mariné",185.0,0.0,0.0,13.3,50.0,0.0,18.0,Produits animaux
"Anchois commun, mariné, préemballé",136.0,0.0,2.7,3.26,50.0,1.4,18.0,Produits animaux
"Lieu jaune ou colin, cuit",100.0,0.0,0.0,0.5,50.0,0.0,18.0,Produits animaux
"Lingue bleue ou Lingue, crue",79.6,0.0,0.0,0.44,50.0,0.0,18.0,Produits animaux
"Sole tropicale ou Sole langue, crue",68.2,0.0,0.0,0.58,50.0,0.0,18.0,Produits animaux
"Turbot d'élevage, cru",109.0,0.0,0.0,3.94,50.0,0.0,18.0,Produits animaux
"Bar commun ou loup (Méditerranée), cru, sauvage",97.9,0.0,0.0,1.94,50.0,0.0,18.0,Produits animaux
"Bar commun ou loup (Méditerranée), cru, élevage",124.0,0.0,0.0,4.25,50.0,0.0,18.0,Produits animaux
"Baudroie rousse ou Lotte, crue",70.2,0.0,0.0,0.37,50.0,0.0,18.0,Produits animaux
"Sébaste du nord, ou grand sébaste, ou dorade sébaste, ou daurade sébaste, crue",89.5,0.0,0.0,1.6,50.0,0.0,18.0,Produits animaux
"Saumon, cuit au micro-ondes, élevage",200.0,0.0,0.0,11.4,50.0,0.0,18.0,Produits animaux
"Hoki, tout lieu de péche, cru",92.3,0.0,0.0,2.36,50.0,0.0,18.0,Produits animaux
"Grenadier bleu ou hoki de Nouvelle-Zélande, cru",75.5,0.0,0.0,1.46,50.0,0.0,18.0,Produits animaux
"Saumon, bouilli/cuit é l'eau, élevage",193.0,0.0,0.0,10.3,50.0,0.0,18.0,Produits animaux
"Grondin perlon, cru",97.4,0.0,0.0,1.79,50.0,0.0,18.0,Produits animaux
"Dorade grise, ou daurade grise, ou griset, rétie/cuite au four",121.0,0.0,0.0,3.3,50.0,0.0,18.0,Produits animaux
"Saumon, grillé/poélé",223.0,0.0,0.0,13.5,50.0,0.0,18.0,Produits animaux
"Saumon, élevage, réti/cuit au four",210.0,0.0,0.0,13.5,50.0,0.0,18.0,Produits animaux
"Sardine, filets sans arétes é l'huile d'olive, appertisés, égouttés",213.0,0.0,0.62,13.9,50.0,0.3,18.0,Produits animaux
"Hareng fumé, é l'huile",168.0,0.0,2.0,11.0,50.0,1.0,18.0,Produits animaux
"Merlu blanc du Cap, surgelé, cru",78.0,0.0,0.0,1.52,50.0,0.0,18.0,Produits animaux
"Julienne ou Lingue, cuite",105.0,0.0,0.0,0.82,50.0,0.0,18.0,Produits animaux
"Chinchard maigre, cru",96.7,0.0,0.0,2.42,50.0,0.0,18.0,Produits animaux
"Chinchard gras, cru",147.0,0.0,0.0,7.66,50.0,0.0,18.0,Produits animaux
"Hareng maigre, cru",111.0,0.0,0.0,4.22,50.0,0.0,18.0,Produits animaux
"Hareng gras, cru",172.0,0.0,0.0,10.8,50.0,0.0,18.0,Produits animaux
"Surimi, fourré au fromage",149.0,1.0,9.24,9.3,0.0,0.0,18.0,Produits animaux
"Joéls (petits poissons entiers) pour friture, crus",88.9,0.0,0.0,2.1,0.0,0.0,18.0,Produits animaux
"Empereur, filet, sans peau, cru",73.5,0.0,0.0,1.5,50.0,0.0,18.0,Produits animaux
"Thon é la tomate, miettes, appertisées, égouttées",130.0,0.58,4.33,5.93,15.0,0.6,18.0,Produits animaux
"Thon, é la catalane ou é l'escabéche (sauce tomate), appertisé",142.0,1.5,5.05,8.6,15.0,0.8,18.0,Produits animaux
"Rouget-barbet, filet avec peau, surgelé, cru (Thaélande, Sénégalé)",96.7,0.0,0.0,3.5,50.0,0.0,18.0,Produits animaux
"Thon é l'huile de tournesol, miettes, appertisées, égouttées",227.0,0.0,0.0,14.8,50.0,0.0,18.0,Produits animaux
"Flétan du Groénland ou flétan noir ou flétan commun, cuit é la vapeur",173.0,0.0,0.0,11.6,50.0,0.0,18.0,Produits animaux
"Sole, poélée",96.7,0.0,0.0,0.5,50.0,0.0,18.0,Produits animaux
"Poisson blanc, cuit (aliment moyen)",107.0,3.0,0.0,2.18,0.0,0.0,10.0,Plats préparés
"Poisson blanc, de mer, cuit (aliment moyen)",106.0,3.0,0.0,2.0,0.0,0.0,10.0,Plats préparés
"Ficelle picarde, préemballée",151.0,0.6,11.9,7.5,50.0,6.0,10.0,Plats préparés
"Carottes répées, avec sauce, préemballées",200.0,3.64,6.01,5.0,15.0,0.9,10.0,Plats préparés
"Salade de betterave, avec sauce, préemballée",200.0,2.66,7.45,4.94,15.0,1.1,10.0,Plats préparés
"Salade de chou ou Coleslaw, avec sauce, préemballée",105.0,3.0,5.78,8.1,15.0,0.9,10.0,Plats préparés
"Salade de concombre é la créme/fromage blanc, préemballée",200.0,1.48,1.97,11.3,15.0,0.3,10.0,Plats préparés
"Salade de lentilles et saucisse fumée, préemballée",200.0,3.6,8.9,11.8,15.0,1.3,10.0,Plats préparés
"Salade grecque, avec sauce, préemballée",200.0,2.0,1.4,7.1,15.0,0.2,10.0,Plats préparés
"Salade de riz é la niéoise, avec sauce, préemballée",200.0,1.5,15.8,6.08,70.0,11.1,10.0,Plats préparés
"Gnocchi é la pomme de terre, cru",176.0,2.2,35.0,1.42,85.0,29.8,7.0,Céréales
"Gnocchi é la semoule, cru",200.0,1.9,37.0,2.6,50.0,18.5,7.0,Céréales
"Croissant au jambon fromage, préemballé",258.0,2.0,22.0,14.5,0.0,0.0,10.0,Plats préparés
"Tarte épinard chévre, préemballée",244.0,2.05,22.2,13.6,50.0,11.1,10.0,Plats préparés
"Tielle sétoise, préemballée",306.0,2.95,30.9,16.0,50.0,15.4,10.0,Plats préparés
"Taboulé ou Salade de couscous au poulet, préemballé",200.0,2.02,20.6,7.45,15.0,3.1,10.0,Plats préparés
"Pizza au thon, préemballée",220.0,2.2,23.3,8.78,50.0,11.6,10.0,Plats préparés
"Pizza kebab, préemballée",211.0,1.85,26.6,7.01,50.0,13.3,10.0,Plats préparés
"Pizza au poulet, préemballée",215.0,2.32,27.5,6.68,50.0,13.8,10.0,Plats préparés
"Pizza type raclette ou tartiflette, préemballée",276.0,2.4,27.5,12.7,50.0,13.8,10.0,Plats préparés
